response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.4216,0.0042,0.0027,0.0001,2.4148,0.0001,200,0.0114
2.0084,0.0005,0.0001,0.0001,2.0077,0.0001,200,0.4412
2.4566,0.0041,0.0031,0.0001,2.4507,0.0001,200,0.0114
2.4612,0.0019,0.0013,0.0001,2.4565,0.0001,200,0.0115
2.4693,0.0023,0.0016,0.0001,2.4623,0.0001,200,0.0115
2.6062,0.0019,0.0015,0.0001,2.5996,0.0001,200,0.0115
2.6276,0.0048,0.0022,0.0000,2.6205,0.0001,200,0.0114
1.7390,0.0005,0.0001,0.0001,1.7382,0.0001,200,0.9172
2.6601,0.0024,0.0011,0.0000,2.6556,0.0002,200,0.0114
2.6600,0.0018,0.0014,0.0001,2.6534,0.0002,200,0.0116
2.2024,0.0005,0.0001,0.0001,2.2015,0.0002,200,0.4902
2.2338,0.0004,0.0001,0.0001,2.2330,0.0001,200,0.4756
2.7153,0.0015,0.0010,0.0001,2.7087,0.0002,200,0.0115
2.7235,0.0077,0.0013,0.0001,2.7152,0.0001,200,0.0099
2.7296,0.0028,0.0022,0.0003,2.7227,0.0001,200,0.0114
2.8654,0.0008,0.0004,0.0001,2.8589,0.0001,200,0.0114
2.8891,0.0023,0.0019,0.0001,2.8823,0.0002,200,0.0114
1.9512,0.0005,0.0001,0.0001,1.9504,0.0001,200,0.9675
2.5303,0.0005,0.0001,0.0001,2.5295,0.0001,200,0.3942
2.9182,0.0012,0.0008,0.0001,2.9138,0.0001,200,0.0114
2.3857,0.0005,0.0001,0.0001,2.3849,0.0002,200,0.5657
2.2761,0.0005,0.0001,0.0001,2.2753,0.0001,200,0.6945
2.9714,0.0026,0.0019,0.0001,2.9643,0.0001,200,0.0114
2.9812,0.0023,0.0013,0.0001,2.9741,0.0001,200,0.0115
2.9838,0.0017,0.0001,0.0002,2.9799,0.0001,200,0.0115
0.0717,0.0005,0.0001,0.0001,0.0709,0.0001,429,2.9953
3.1236,0.0048,0.0025,0.0000,3.1169,0.0001,200,0.0115
2.7496,0.0005,0.0001,0.0001,2.7488,0.0001,200,0.4110
