response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.5605,0.0021,0.0016,0.0010,1.5572,0.0002,200,0.0113
1.4277,0.0005,0.0001,0.0001,1.4270,0.0001,200,0.2314
1.1140,0.0005,0.0001,0.0001,1.1132,0.0002,200,0.5566
1.4566,0.0005,0.0001,0.0001,1.4559,0.0001,200,0.2392
1.7096,0.0038,0.0034,0.0000,1.7056,0.0001,200,0.0100
1.1548,0.0005,0.0001,0.0001,1.1541,0.0001,200,0.5668
1.7663,0.0042,0.0002,0.0002,1.7618,0.0001,200,0.0087
1.7742,0.0007,0.0002,0.0005,1.7726,0.0002,200,0.0123
1.7787,0.0025,0.0012,0.0001,1.7759,0.0001,200,0.0106
1.5243,0.0005,0.0001,0.0001,1.5236,0.0002,200,0.2824
1.8111,0.0026,0.0007,0.0013,1.8070,0.0002,200,0.0103
1.6859,0.0005,0.0001,0.0001,1.6851,0.0001,200,0.2292
1.0657,0.0006,0.0001,0.0001,1.0648,0.0001,200,0.8611
1.5941,0.0005,0.0001,0.0001,1.5933,0.0002,200,0.3587
1.9613,0.0039,0.0030,0.0003,1.9568,0.0002,200,0.0089
1.3004,0.0005,0.0001,0.0001,1.2996,0.0002,200,0.6808
2.0231,0.0023,0.0016,0.0001,2.0202,0.0002,200,0.0107
2.0349,0.0039,0.0033,0.0009,2.0299,0.0002,200,0.0095
2.0334,0.0009,0.0000,0.0001,2.0322,0.0001,200,0.0129
1.6352,0.0005,0.0001,0.0001,1.6344,0.0002,200,0.4273
1.8809,0.0005,0.0001,0.0001,1.8802,0.0002,200,0.1940
1.8836,0.0005,0.0001,0.0001,1.8828,0.0002,200,0.2872
0.5232,0.0006,0.0001,0.0001,0.5223,0.0002,200,1.6591
1.7230,0.0005,0.0001,0.0001,1.7222,0.0001,200,0.4852
2.0470,0.0005,0.0001,0.0001,2.0461,0.0002,200,0.1785
1.5358,0.0005,0.0001,0.0001,1.5349,0.0002,200,0.7032
2.2815,0.0025,0.0017,0.0000,2.2788,0.0001,200,0.0112
2.2852,0.0006,0.0001,0.0001,2.2842,0.0001,200,0.0124
2.3001,0.0023,0.0006,0.0009,2.2967,0.0001,200,0.0091
1.8413,0.0006,0.0001,0.0001,1.8404,0.0002,200,0.4732
2.1279,0.0005,0.0001,0.0001,2.1272,0.0001,200,0.2024
2.0735,0.0005,0.0001,0.0001,2.0727,0.0001,200,0.3514
0.5100,0.0005,0.0001,0.0001,0.5092,0.0002,200,1.9268
1.4916,0.0006,0.0001,0.0001,1.4908,0.0001,200,0.9760
2.2780,0.0005,0.0001,0.0001,2.2771,0.0002,200,0.2021
1.6387,0.0005,0.0001,0.0001,1.6380,0.0002,200,0.8587
2.5455,0.0043,0.0003,0.0010,2.5399,0.0002,200,0.0086
2.2724,0.0004,0.0001,0.0001,2.2718,0.0001,200,0.2826
2.5600,0.0032,0.0027,0.0001,2.5565,0.0002,200,0.0097
1.8644,0.0005,0.0001,0.0001,1.8637,0.0001,200,0.7098
2.3186,0.0004,0.0001,0.0001,2.3180,0.0001,200,0.2700
2.1446,0.0005,0.0001,0.0001,2.1438,0.0001,200,0.5358
0.7399,0.0004,0.0001,0.0001,0.7391,0.0002,200,1.9528
1.5293,0.0006,0.0001,0.0001,1.5285,0.0001,200,1.1921
2.5137,0.0006,0.0001,0.0001,2.5128,0.0002,200,0.2213
1.7288,0.0005,0.0001,0.0001,1.7280,0.0002,200,1.0278
2.5141,0.0005,0.0001,0.0001,2.5133,0.0001,200,0.2915
2.8065,0.0011,0.0000,0.0004,2.8048,0.0001,200,0.0110
1.8775,0.0005,0.0001,0.0001,1.8768,0.0001,200,0.9441
2.8263,0.0016,0.0007,0.0007,2.8238,0.0002,200,0.0094
2.5937,0.0004,0.0001,0.0001,2.5930,0.0002,200,0.2486
2.2046,0.0005,0.0000,0.0001,2.2039,0.0002,200,0.7329
0.9045,0.0006,0.0001,0.0001,0.9036,0.0001,200,2.0444
1.7071,0.0005,0.0001,0.0001,1.7063,0.0001,200,1.2681
2.4268,0.0005,0.0001,0.0001,2.4260,0.0002,200,0.5631
1.9162,0.0005,0.0001,0.0001,1.9154,0.0002,200,1.0997
2.6853,0.0005,0.0001,0.0001,2.6846,0.0001,200,0.3750
3.0605,0.0014,0.0007,0.0001,3.0588,0.0001,200,0.0123
1.9059,0.0005,0.0001,0.0001,1.9052,0.0001,200,1.1702
3.0746,0.0041,0.0025,0.0022,3.0682,0.0001,200,0.0086
2.8298,0.0006,0.0001,0.0001,2.8289,0.0002,200,0.2691
2.4604,0.0005,0.0001,0.0001,2.4597,0.0001,200,0.7329
1.1298,0.0005,0.0001,0.0001,1.1291,0.0002,200,2.0750
1.8010,0.0004,0.0001,0.0001,1.8003,0.0002,200,1.4298
2.6578,0.0005,0.0001,0.0001,2.6571,0.0001,200,0.5884
1.2958,0.0005,0.0001,0.0001,1.2950,0.0001,200,1.9812
2.8977,0.0005,0.0001,0.0001,2.8970,0.0001,200,0.4171
3.3197,0.0041,0.0038,0.0002,3.3153,0.0001,200,0.0090
2.1034,0.0005,0.0001,0.0001,2.1026,0.0001,200,1.2296
3.0912,0.0005,0.0001,0.0001,3.0904,0.0001,200,0.2480
3.0301,0.0005,0.0001,0.0001,3.0294,0.0001,200,0.3261
2.6880,0.0006,0.0001,0.0001,2.6872,0.0001,200,0.7608
1.2344,0.0005,0.0001,0.0001,1.2336,0.0001,200,2.2255
2.0193,0.0004,0.0001,0.0001,2.0186,0.0001,200,1.4681
2.7709,0.0005,0.0001,0.0001,2.7702,0.0001,200,0.7300
1.4722,0.0005,0.0001,0.0001,1.4713,0.0002,200,2.0625
3.0569,0.0005,0.0001,0.0001,3.0561,0.0001,200,0.5126
2.1116,0.0004,0.0001,0.0001,2.1109,0.0001,200,1.4747
3.4404,0.0006,0.0001,0.0001,3.4394,0.0002,200,0.1476
